,title
6495,Abundance and Species Richness of Nocturnal Insects on Organic and Conventional Farms: Effects of Agricultural Intensification on Bat Foraging
6496,Hotspots of biodiversity or homogeneous landscapes? Farm dams as biodiversity reserves in Australia
6497,Long-term changes to the frequency of occurrence of British moths are consistent with opposing and synergistic effects of climate and land-use changes
6498,"Genetic diversity and complementary sex determination (CSD) in Dolerus aeneus (Hymenoptera, Symphyta): implications for the conservation of an ecologically-important sawfly"
6499,Fish Assemblage of a Cypress Wetland within an Urban Landscape
6500,Preliminary estimates of fallen dead wood and standing
6501,"Landscape and farm scale management to enhance biodiversity conservation in the cocoa producing region of southern Bahia, Brazil"
6502,Priorities for Improving the Scientific Foundation of Conservation Policy in North America
6503,"Wild felid diversity and activity patterns in Sabangau peat-swamp forest, Indonesian Borneo"
6504,Focus groups identify optimum urban nature in four Australian and New Zealand cities
6505,Mapping stakeholder viewpoints in biodiversity management: an application in Niger using Q methodology
6506,The impact of hedge-forest connectivity and microhabitat conditions on spider and carabid beetle assemblages in agricultural landscapes
6507,Homegardens in a micro-regional scale: contributions to agrobiodiversity conservation in an urban-rural context
6508,Mesophotic ecosystems of the unique South Atlantic atoll are composed by rhodolith beds and scattered consolidated reefs
6509,A simulation model of plant invasion: long-distance dispersal determines the pattern of spread
6510,Climate change likely to reduce orchid bee abundance even in climatic suitable sites
6511,Intertidal assemblages associated with natural corallina turf and invasive mussel beds
6512,
6513,Editors&apos; Introduction: Birds and Agriculture
6514,When natural history collections reveal secrets on data deficient threatened species: Atlantic seahorses as a case study
6515,"Aquatic Insects from the Caatinga: checklists and diversity assessments of Ubajara (Ceará State) and Sete Cidades (Piauí State) National Parks, Northeastern Brazil"
6516,Fragmentation genetics in the tropics
6517,Inventory of mollusks from the estuary of the Paraíba River in northeastern Brazil
6518,Shading impacts by coastal infrastructure on biological communities from subtropical rocky shores
6519,"Abundance, distribution and spread of the invasive Asian toad Duttaphrynus melanostictus in eastern Madagascar"
6520,Biodiversity of man-made open habitats in an underused country: a class of multispecies abundance models for count data
6521,Comparison of genetic patterns between European and Asian populations of an endangered butterfly species
6522,Public perceptions of snakes and snakebite management: implications for conservation and human health in southern Nepal Public perceptions of snakes and snakebite management: implications for conservation and human health in southern Nepal
6523,Can community-protected areas conserve biodiversity in human-modified tropical landscapes? The case of terrestrial mammals in southern Mexico
6524,
6525,"Contrasting patterns in species richness of birds, butterflies and plants along riparian corridors in an urban landscape"
6526,"Arthropod diversity in two Historic Gardens in the Azores, Portugal"
6527,Multiscale assessment of the influence of habitat structure and composition on bird assemblages in boreal forest
6528,"Range, genetic diversity and future of the threatened butterfly, Pieris virginiensis"
6529,
6530,Management effects on bryophytes in Estonian forests
6531,"12222-0001, USA; *Author for correspondence. Present address: School of Natural Resources and Environment"
6532,A conservation planning approach to mitigate the impacts of leakage from protected area networks
6533,Invasion hotspots for non-native plants in Australia under current and future climates
6534,
6535,Coexisting with coyotes (Canis latrans) in an urban environment
6536,C Foundation for Environmental Conservation
6537,How does biodiversity conservation argumentation generate effects in policy cycles?
6538,"The potential suitability of Jiangsu Province, east China for the invasive red imported fire ant, Solenopsis invicta"
6539,"Effects of plant species diversity, atmospheric [CO 2 ], and N addition on gross rates of inorganic N release from soil organic matter"
6540,BIODIVERSITY RESEARCH Concordance among stream assemblages and spatial autocorrelation along a fragmented gradient Spatial patterns of stream assemblages
6541,Fossil insects and ecosystem dynamics in wetlands: implications for biodiversity and conservation
6542,Using unclassified continuous remote sensing data to improve distribution models of red-listed plant species
6543,Robustness of ecological niche modeling algorithms for mammals in Guyana
6544,Body size determines the strength of the latitudinal diversity gradient
6545,Applying a biocomplexity approach to modelling farmer decision-making and land use impacts on wildlife
6546,Composition and diversity of the spider fauna in the canopy of a montane forest in Tanzania
6547,Ecography Breeding bird species diversity across gradients of land use from forest to agriculture in Europe
6548,Conservation and biological monitoring of tropical forests: the role of parataxonomists
6549,and the lowest richness was seen in IT (5.0 ± 2
6550,Forest cover and proximity decrease herbivory and increase crop yield via enhanced natural enemies in soybean fields
6551,Identifying mismatches between habitat selection and habitat quality in a ground-nesting farmland bird
6552,Advantages of Volunteer-Based Biodiversity Monitoring in Europe
6553,Drought&apos;s legacy: multiyear hydraulic deterioration underlies widespread aspen forest die-off and portends increased future risk
6554,Landscape fragmentation affects responses of avian communities to climate change
6555,"Beetle biodiversity in anthropogenic landscapes with a focus on spruce plantations, Christmas tree plantations and maize fields"
6556,Habitat associations of European hares Lepus europaeus in England and Wales: implications for farmland management
6557,"Histerídeos (Staphyliniformia: Coleoptera: Histeridae) dos Campos Gerais, Paraná, Brasil"
6558,Carabid beetles in green infrastructures: the importance of management practices for improving the biodiversity in a metropolitan city
6559,Local benthic assemblages in shallow rocky reefs find refuge in a marine protected area at Madeira Island
6560,Accounting for adaptive capacity and uncertainty in assessments of species&apos; climate-change vulnerability
6561,"Non-apoid flower-visiting fauna of Everglades National Park, Florida"
6562,Guidelines on sampling intensity of bees (Hymenoptera: Apoidea: Apiformes)
6563,"Species, community, and ecosystem-level responses following the invasion of the red alga Dasysiphonia japonica to the western North Atlantic Ocean"
6564,"A Comparison of Richness Hotspots, Rarity Hotspots, and Complementary Areas for Conserving Diversity of British Birds"
6565,Growth and mortality of invasive Flathead Catfish in the tidal James River
6566,Carbon sequestration in riparian forests: A global synthesis and meta-analysis Funding information
6567,Coral-algal phase shifts alter fish communities and reduce fisheries production
6568,Diversity distribution and floristic differentiation of the coastal lowland vegetation: implications for the conservation of the Brazilian Atlantic Forest
6569,Interactions between wild boar and cattle in Patagonian temperate forest: cattle impacts are worse when alone than with wild boar
6570,Snake communities of moist rainforest and derived savanna sites of Nigeria: biodiversity patterns and conservation priorities
6571,Identification of priority areas for plant conservation in Madagascar using Red List criteria: rare and threatened Pandanaceae indicate sites in need of protection
6572,Mushroom diversity in sustainable shade tea forest and the effect of fire damage
6573,In situ extinction of carabid beetles and community changes in a protected suburban forest during the past century: the &apos;&apos;Bosco Farneto&apos;&apos; near Trieste (Italy)
6574,Revista Mexicana de Biodiversidad
6575,"Distribution of macrozoobenthos in an Arctic estuary (Pechora Bay, SE Barents Sea) during the spring flood period"
6576,"Keep it alive, don&apos;t freeze it: a conceptual perspective on the conservation of continuously evolving satoyama landscapes"
6577,Invasion of alien macroalgae in different Mediterranean habitats
6578,LiDAR as a rapid tool to predict forest habitat types in Natura 2000 networks
6579,Alpha and beta diversity of arthropods and plants in organically and conventionally managed wheat fields
6580,"Forest cover and level of protection influence the island- wide distribution of an apex carnivore and umbrella species, the Sri Lankan leopard (Panthera pardus kotiya)"
6581,The Authors 474 Journal compilation r
6582,Riverscape genetics identifies speckled dace (Rhinichthys osculus) cryptic diversity in the Klamath-Trinity Basin
6583,Using Indicator Species to Predict Species Richness of Multiple Taxonomic Groups
6584,Infestation dynamics between parasitic Antarctic fish leeches (Piscicolidae) and their crocodile icefish hosts (Channichthyidae)
6585,The effects of arbuscular mycorrhizal (AM) fungal and garlic mustard introductions on native AM fungal diversity
6586,On the conservation biology of a Chinese population of the birdwing Troides aeacus (Lepidoptera: Papilionidae)
6587,Positive linear relationship between productivity and diversity: evidence from the Eurasian Steppe
6588,"Biological survey of a cloud forest in southwestern Mexico: plants, amphibians, reptiles, birds, and mammals"
6589,"Observations on diatoms inhabiting natural and artificial substrates in Kongsfjorden, Svalbard, the Arctic"
6590,Assembly dynamics of a forest bird community depend on disturbance intensity and foraging guild
6591,Low Mitochondrial Dna Sequence Variation in the Microendemic Cuatro Ciénegas Platyfish Xiphophorus gordoni
6592,Assessing wolves and cougars as conservation surrogates
6593,Incorporating climate change adaptation into national conservation assessments
6594,"Invasive pythons, not anthropogenic stressors, explain the distribution of a keystone species"
6595,Hunter self-monitoring by the Isosen˜o-Guaranıí n the Bolivian Chaco
6596,Assessing land-use effects on European plant diversity using a biome-specific countryside species-area model
6597,In the search of good biodiversity surrogates: are raptors poor indicators in the Baja California Peninsula desert?
6598,"Genetic structure of Rhinoceros Rock Iguanas, Cyclura cornuta, in the Dominican Republic, with insights into the impact of captive facilities and the taxonomic status of Cyclura on Mona Island"
6599,Neophyte species richness at the landscape scale under urban sprawl and climate warming
6600,Human lakeshore development alters the structure and trophic basis of littoral food webs
6601,"Relationships between the diversity patterns of vascular plants, lichens and invertebrates in the Central Asian forest-steppe ecotone"
6602,Evaluating herbivore management outcomes and associated vegetation impacts Affiliations
6603,"Using scale-area curves to quantify the distribution, abundance and range expansion potential of an invasive species"
6604,"Factors affecting home gardens ownership, diversity and structure: a case study from Benin Factors affecting home gardens ownership, diversity and structure: a case study from Benin"
6605,"Loss of predator species, not intermediate consumers, triggers rapid and dramatic extinction cascades"
6606,Long-term bird colonization and turnover in restored woodlands
6607,Opinion Article Can lianas assist in rainforest restoration?
6608,"Marine sponges of the Dampier Archipelago, Western Australia: patterns of species distributions, abundance and diversity"
6609,"Invasive alien plants elicit reduced production of flowers and fruits in various native forest species on the tropical island of Mauritius (Mascarenes, Indian Ocean)"
6610,Aquarium molluscs as a case study in risk assessment of incidental freshwater fauna
6611,Lessons from a kill
6612,Identification of dragonflies (Odonata) as indicators of general species richness in boreal forest lakes
6613,Comparison of bird communities in primary vs. young secondary tropical montane cloud forest in Guatemala
6614,Species-Richness Correlations of Six Different Taxa in Swedish Seminatural Grasslands
6615,Testing Focus Groups as a Tool for Connecting Indigenous and Local Knowledge on Abundance of Natural resources with Science-Based Land Management Systems
6616,Biodiversity of soil microarthropods: the filtering of species
6617,"Corales pétreos, equinodermos y peces asociados a comunidades y arrecifes coralinos del Parque Nacional Huatulco, Pacífico sur mexicano Stony corals, echinoderms and fish associated to coral communities and reefs from the Parque Nacional Huatulco, Southern Mexican Pacific"
6618,Conservation of aquatic insect species across a protected area network: null model reveals shortfalls of biogeographical knowledge
6619,Climate readiness of recovery plans for threatened Australian species
6620,BIODIVERSITY RESEARCH Sub-alpine amphibian distributions related to species palatability to non-native salmonids in the Klamath mountains of northern California Amphibian-fish interactions in Klamath mountains
6621,
6622,Vanishing islands in the sky? A comparison of correlation-and mechanism-based forecasts of range dynamics for montane salamanders under climate change
6623,"BIODIVERSITY RESEARCH Minimum residence time, biogeographical origin, and life cycle as determinants of the geographical extent of naturalized plants in continental Chile"
6624,Tiny fragments of acidophilous steppic grasslands serve as yet unknown habitats of endangered aeolian sand specialists among Aculeata (Hymenoptera)
6625,
6626,Implementing and Evaluating a Citizen-Science Program to Support Wildlife Management: MI-MAST
6627,From forest to farmland: species richness patterns of trees and understorey plants along a gradient of forest conversion in Southwestern Cameroon
6628,"Vascular plants in the tourist area of Lushan National Nature Reserve, China: status, threats and conservation"
6629,Biodiversity Conservation in Local Planning
6630,
6631,"Are north Australian floodplain ant communities comprised of a distinct fauna, or a subset of the broader savanna fauna? Implications for conservation"
6632,Significant taxon sampling gaps in DNA databases limit the operational use of marine macrofauna metabarcoding
6633,A novel hotspot of vertebrate endemism and an evolutionary refugium in tropical Australia
6634,Ecological Correlates and Conservation Implications of Overestimating Species Geographic Ranges
6635,"INVASIVE SPARTINA Persistence, dispersal and genetic evolution of recently formed Spartina homoploid hybrids and allopolyploids in Southern England"
6636,The ecology of urban areas and their functions for species diversity
6637,Gaps in seed banking are compromising the GSPC&apos;s Target 8 in a megadiverse country
6638,Spatiotemporal changes of beetle communities across a tree diversity gradient
6639,Species-rich semi-natural grasslands have a higher resistance but a lower resilience than intensively managed agricultural grasslands in response to climate anomalies
6640,Platyhelminthes: Proseriata) in eastern Australia
6641,Regional Biodiversity Planning and Lemur Conservation with GIS in Western Madagascar
6642,How Do Crop Area and Management Intensity Influence Tropical Lizard Species Diversity?
6643,Parasites of exotic species in invaded areas: does lower diversity mean lower epizootic impact?
6644,"Challenges to conservation: land use change and local participation in the Al Reem Biosphere Reserve, West Qatar"
6645,Mobile epifauna of the invasive bryozoan Tricellaria inopinata: is there a potential invasional meltdown?
6646,Effects of Pond Draining on Biodiversity and Water Quality of Farm Ponds
6647,Understanding conservationists&apos; perspectives on the new-conservation debate
6648,Drivers of fish assemblage structures in a Neotropical urban watershed
6649,Ecological thresholds: an assessment of methods to identify abrupt changes in species Á habitat relationships
6650,-NC-ND 4.0
6651,A deep sea community at the Kebrit brine pool in the Red Sea
6652,Spots of high diversity of troglobites in Brazil: the challenge of measuring subterranean diversity
6653,BEETLE COMMUNITIES OF TEMPERATE FORESTS
6654,Recovery of plant species richness and composition after slash-and-burn agriculture in a tropical rainforest in Madagascar
6655,Habitat preferences of the endangered diving beetle Graphoderus bilineatus: implications for conservation management
6656,Detecting the threshold between ornamental landscapes and functional ecological communities: soil microarthropods as indicator species
6657,Variability of soil enzyme activities and vegetation succession following boreal forest surface soil transfer to an artificial hill Launched to accelerate biodiversity conservation
6658,Landscape context influences chytrid fungus distribution in an endangered European amphibian
6659,Characterising the phytophagous arthropod fauna of a single host plant species: assessing survey completeness at continental and local scales
6660,Importance of habitat patch size for occupancy and density of aspen-associated saproxylic beetles
6661,The rapid development of birdwatching in mainland China: a new force for bird study and conservation
6662,Journal of Natural History Ferrissia californica (Gastropoda: Planorbidae): the first record of a global invader in a cave habitat Ferrissia californica (Gastropoda: Planorbidae): the first record of a global invader in a cave habitat
6663,Interaction networks of avian mixed-species flocks along elevation in the tropical Andes
6664,Ophiuroid biodiversity patterns along the Antarctic Peninsula
6665,"Landscapes, legibility, and conservation planning: multiple representations of forest use in Panama"
6666,Conservation genetics of an endemic from the Mediterranean Basin: high genetic differentiation but no genetic diversity loss from the last populations of the Sicilian Grape Hyacinth Leopoldia gussonei
6667,Spatial scale and the conservation of threatened species
6668,Are Non-native Plant Species a Threat to the Alps? Insights and Perspectives 5
6669,"Spatial congruence between taxonomic, phylogenetic and functional hotspots: true pattern or methodological artefact?"
6670,Instability of insular tree communities in an Amazonian mega-dam is driven by impaired recruitment and altered species composition
6671,Offshore marine renewable energy devices as stepping stones across biogeographical boundaries
6672,Bioindication using trap!nesting bees and wasps and their natural enemies] community structure and interactions
6673,"Contrasting trends of butterfly species preferring semi-natural grasslands, field margins and forest edges in northern Europe"
6674,Changes in the decapod fauna of an Arctic fjord during the last 100 years (1908-2007)
6675,Ecological Effectiveness of Agri-Environment Schemes in Different Agricultural Landscapes in The Netherlands
6676,Generic names and mislabeling conceal high species diversity in global fisheries markets
6677,Cumacea of Greece: a preliminary checklist
6678,Improving confidence in tree species selection for challenging urban sites: a role for leaf turgor loss
6679,Population genomics applications for conservation: the case of the tropical dry forest dweller Peromyscus melanophrys
6680,The road less travelled: assessing variation in mammal detection probabilities with camera traps in a semi-arid biodiversity hotspot
6681,
6682,Priority sites for conservation of land snails in Gabon: testing the umbrella species concept
6683,Matrix Models as a Tool for Understanding Invasive Plant and Native Plant Interactions
6684,"Invasive alien plant species in unmanaged forest reserves, Austria Invasive alien plant species in unmanaged forest reserves, Austria Advancing research on alien species and biological invasions"
6685,THE UK NATIONAL ECOSYSTEM ASSESSMENT Mapping ecosystem service and biodiversity changes over 70 years in a rural English county
6686,Impacts of invasive biota in forest ecosystems in an aboveground-belowground context
6687,Training Conservation Biologists in Human Interaction Skills
6688,
6689,Nature&apos;s untold stories: an overview on the availability and type of on-line data on long-term biodiversity monitoring
6690,"Interactive effects of nitrogen deposition, fire and grazing on diversity and composition of low-alpine prostrate Calluna vulgaris heathland"
6691,
6692,Medicinal plant conservation and management: distribution of wild and cultivated species in eight countries
6693,Incentive Structure of and Private Landowner Participation in an Endangered Species Conservation Program
6694,ModEco: an integrated software package for ecological niche modeling
6695,Protecting degraded rainforests: enhancement of forest carbon stocks under REDD+
6696,Relationships between biomass and plant species richness in arid-zone grazing lands
6697,Genetic signature of a severe forest fire on the endangered Gran Canaria blue chaffinch (Fringilla teydea polatzeki)
6698,Examining Fragmentation and Loss of Primary Forest in the Southern Bahian Atlantic Forest of Brazil with Radar Imagery
6699,Ecography Modelling species responses to extreme weather provides new insights into constraints on range and likely climate change impacts for Australian mammals
6700,Ecography Learning from the past to prepare for the future: felids face continued threat from declining prey
6701,Rediscovery and conservation status of six short-range endemic Pseudanophthalmus cave beetles (Carabidae: Trechini)
6702,Biodivers Conserv Plant and small mammal richness correlate positively in a biodiversity hotspot
6703,
6704,Global projections of future cropland expansion to 2050 and direct impacts on biodiversity and carbon storage
6705,The effect of target setting on conservation in Canada&apos;s boreal: what is the right amount of area to protect?
6706,"Assessing the ecological values of rivers: an application of a multi-criteria approach to rivers of the South Coast Region, Western Australia"
6707,Beyond vegetation-based habitat restoration for a threatened giant Spirostreptid millipede
6708,Exotic shrub invasion in a montane grassland: the role of fire as a potential restoration tool
6709,"Climate change impacts on endemic, high-elevation lichens in a biodiversity hotspot"
6710,Issues in Biodiversity Conservation Including the Role of Local Communities* by
6711,Variation in habitat use of Beaufort Sea polar bears
6712,Topography explains the distribution of genetic diversity in one of the most fragile European hotspots
6713,"Complex genetic diversity patterns of cryptic, sympatric brown trout (Salmo trutta) populations in tiny mountain lakes"
6714,Suppression of the Woodland Herb Senna hebecarpa by the Invasive Grass Microstegium vimineum
6715,"Ecological Fallacy and Aggregated Data: A Case Study of Fried Chicken Restaurants, Obesity and Lyme Disease"
6716,Non-target effects of broadleaf herbicide on a native perennial forb: a demographic framework for assessing and minimizing impacts
6717,Rarity and Diversity in Forest Ant Assemblages of Great Smoky Mountains National Park
6718,Brazilian Journal of Nature Conservation How Many Endangered Species Remain to Be Discovered in Brazil?
6719,Demographic Effects of Collecting Rattan Cane and Their Implications for Sustainable Harvesting
6720,Critically endangered island endemic or peripheral population of a widespread species? Conservation genetics of Kikuchi&apos;s gecko and the global challenge of protecting peripheral oceanic island endemic vertebrates A Journal of Conservation Biogeography Diversity and Distributions
6721,Using Avian Surveillance in Ecuador to Assess the Imminence of West Nile Virus Incursion to Galápagos
6722,Evaluation of the network of protection areas for the feeding of scavengers in Spain: from biodiversity conservation to greenhouse gas emission savings
6723,Habitat selection and space use of Upland Sandpipers at nonbreeding grounds
6724,From forest to farmland: butterfly diversity and habitat associations along a gradient of forest conversion in Southwestern Cameroon
6725,Endemic plants of Trinidad and Tobago
6726,Dynamic macroecology and the future for biodiversity
6727,Conservation Goals and the Relative Importance of Costs and Benefits in Reserve Selection
6728,"Latitudinal patterns of bird richness, diversity and abundance in Polylepis australis mountain forest of Argentina"
6729,Cephalopods of the Sargasso Sea: distribution patterns in relation to oceanography
6730,
6731,Ecological Sustainability as a Conservation Concept
6732,Revista Mexicana de Biodiversidad Paleodistribution modelling for planning the growth of natural history collections Modelado de paleodistribuciones para planificar el crecimiento de colecciones de historia natural
6733,
6734,Aquatic Hyphomycetes from streams on Madeira Island (Portugal)
6735,"Fauna Europaea: Coleoptera 2 (excl. series Elateriformia, Scarabaeiformia, Staphyliniformia and superfamily Curculionoidea)"
6736,The value of fruit security for the conservation of a neotropical frugivore in human-dominated landscapes
6737,A Species-Specific Approach to Modeling Biological Communities and Its Potential for Conservation
6738,"Deforestation rates in insular Southeast Asia between 2000 and 2010 J U K K A M I E T T I N E N , C H E"
6739,Species traits suggest European mammals facing the greatest climate change are also least able to colonize new locations
6740,In Vitro Conservation Through Slow-Growth Storage
6741,High resilience of Mediterranean land snail communities to wildfires
6742,
6743,Additional carbon sequestration benefits of grassland diversity restoration
6744,"Societal perception, impacts and judgment values about invasive freshwater stingrays"
6745,Information Could Reduce Consumer Demand for Exotic Pets
6746,"British Trust for Ornithology, Thetford IP24 2PU, UK, 15 Animal Health and Veterinary Laboratories Agency"
6747,Pattern of land-use and land cover changes in Driefontein Grassland Important Bird Area
6748,"BIODIVERSITY RESEARCH Even population differentiation for maternal and biparental gene markers in Eugenia uniflora , a widely distributed species from the Brazilian coastal Atlantic rain forest"
6749,Effectiveness of genera as a higher-taxon substitute for species in ant biodiversity analyses is not affected by sampling technique
6750,"Bats in urban areas of Brazil: roosts, food resources and parasites in disturbed environments"
6751,Threatened plants of arid ecosystems
6752,Response of a dung beetle assemblage along a reforestation gradient in Restinga forest
6753,The influence of garden flowers on pollinator visits to forest flowers: comparison of bumblebee habitat use between urban and natural areas
6754,Genetic structure detected in a small population of the endangered plant Anthericum liliago (Anthericaceae) by RAPD analysis
6755,Mind the gap!&quot; -How well does Natura 2000 cover species of European interest?
6756,New Developments in the Study of Species Distribution Why Should Species Distribution Be Studied?
6757,"Assembly rules of fish communities in Tuamotu archipelago atoll lagoons: The case of Fangatau, a lagoon dominated by giant clam habitats"
6758,"Chiropteran diversity and the key determinants of their distribution in Eastern Ghats, India"
6759,Risks to biodiversity from hydraulic fracturing for natural gas in the Marcellus and Utica shales
6760,Uncertainty Analysis for Regional-Scale Reserve Selection
6761,Sustainable use and incentive-driven conservation: realigning human and conservation interests
6762,Plant diversity and land use under organic and conventional agriculture: a whole-farm approach
6763,Disentangling the potential effects of land-use and climate change on stream conditions
6764,Payments for Ecosystem Services as a Framework for Community-Based Conservation in Northern Tanzania
6765,Covariation of soil nutrients drives occurrence of exotic and native plant species
6766,Sacred sites as hotspots for biodiversity: the Three Sisters Cave complex in coastal Kenya
6767,Journal compilation C 2010 Society for Conservation Biology. No claim to original US government works
6768,Wildlife-friendly oil palm plantations fail to protect biodiversity effectively
6769,Range expansion in an invasive small mammal: influence of life-history and habitat quality
6770,
6771,Biodiversification as an historical process: an appeal for the application of historical ecology to bio-cultural diversity research
6772,Movement upscaled -the importance of individual foraging movement for community response to habitat loss
6773,"Integrated approach towards conservation of Gir National Park: the last refuge of Asiatic Lions, India"
6774,"An Agenda for Conservation Research and Its Application, with A Case-study from Amazonian Ecuador"
6775,owing to shrub encroachment
6776,"United Nations Development Program, 1 United Nations Plaza"
6777,Guild-specific responses of bats to landscape composition and configuration in fragmented Amazonian rainforest
6778,Assessment of the efficiency in trapping North American mink (Neovison vison) for population control in Patagonia
6779,Tackling aquatic invasions: risks and opportunities for the aquarium fish industry
6780,Molecular genetic analysis of a captive-breeding program: the vulnerable endemic Jamaican yellow boa
6781,"Patterns of hydroid (Cnidaria, Hydrozoa) species richness and distribution in an Arctic glaciated fjord"
6782,
6783,Plant communities of the ironstone ranges of South Western Australia: hotspots for plant diversity and mineral deposits
6784,SPECIAL FEATURE Linking the concept of scale to studies of biological diversity: evolving approaches and tools
6785,Climatic stability and contemporary human impacts affect the genetic diversity and conservation status of a tropical palm in the Atlantic Forest of Brazil
6786,"A comparison of bird communities in mixed fruit orchards and natural forest at Khao Luang, southern Thailand"
6787,Climate change and plant distribution: local models predict high-elevation persistence
6788,JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE
6789,Journal of Natural History Two new Pontocyprididae (Ostracoda) species from Korea Two new Pontocyprididae (Ostracoda) species from Korea
6790,"Different patterns in species richness and community composition between trees, plants and epiphytic lichens in semi-natural pastures under agri-environment schemes"
6791,Life after Cecil: channelling global outrage into funding for conservation in Africa
6792,"Systematics and Biodiversity A large-scale inventory of liana diversity in tropical forests of South Eastern Ghats, India View supplementary material A large-scale inventory of liana diversity in tropical forests of South Eastern Ghats, India"
6793,"Preliminary dragonfly (Odonata) species list from the Pampa biome in Rio Grande do Sul, Brazil, with ecological notes for 19 new records for the State"
6794,
6795,"Conservation of Borneo biodiversity: do small lowland parks have a role, or are big inland sanctuaries sufficient? Brunei as an example"
6796,"Are bird density, species richness and community structure similar between native woodlands and non-native plantations in an area with a generalist bird fauna?"
6797,"The cumulative effects of resource development on biodiversity and ecological integrity in the Peace-Moberly region of Northeast British Columbia, Canada"
6798,Effects of anthropogenic activities on lizard communities in northern Madagascar
6799,"Ecological diversity, community structure and conservation of Niger Delta mammals"
6800,Conservation of orthopteran biological diversity relative to landscape change in temperate Eurasia
6801,Spatial variability and abiotic determinants of termite mounds throughout a savanna catchment
6802,Introduction Strategies Put to the Test: Local Adaptation versus Heterosis
6803,
6804,Marine Bryozoa of Greece: an annotated checklist
6805,Land-use effects on local biodiversity in tropical forests vary between continents
6806,Weeds on the web: conflicting management advice about an invasive non-native plant
6807,Succession of aquatic vegetation driven by reduced water-level fluctuations in floodplain lakes
6808,Financial compensation for damage to livestock by lions Panthera leo on community rangelands in Kenya
6809,"Systematics and Biodiversity Spatial analyses of the phylogenetic diversity of Minaria (Apocynaceae): assessing priority areas for conservation in the Espinhaço Range, Brazil View supplementary material Spatial analyses of the phylogenetic diversity of Minaria (Apocynaceae): assessing priority areas for conservation in the Espinhaço Range, Brazil"
6810,Integration of exotic seeds into an Azorean seed dispersal network
6811,Diagnostic analysis of conservation zones using remote sensing and GIS techniques in wet evergreen forests of the Western Ghats -An ecological hotspot
6812,Guidelines for phytosociological classifications and descriptions of vegetation in southern Africa
6813,Diversity and assemblage filtering in ground-dwelling spiders (Araneae) along an urbanisation gradient in Denmark
6814,Current knowledge of fungi from Neotropical montane cloud forests: distributional patterns and composition
6815,A global assessment of the direct and indirect benefits of marine protected areas for coral reef conservation
6816,Selection of priority areas for arthropod conservation in the Azores archipelago
6817,What would happen to the trees and lianas if apes disappeared?
6818,Shading enhances plant species richness and diversity on an extensive green roof
6819,Supporting Information
6820,Environmental stress as an indicator of anthropogenic impact across the African Albertine Rift: a case study using museum specimens
6821,Native plants are the bee&apos;s knees: local and landscape predictors of bee richness and abundance in backyard gardens
6822,"Thresholds of change in a multi-use conservation landscape of South Africa: historical land-cover, future transformation and consequences for environmental decision-making"
6823,"Impact of habitat fragmentation on genetic population structure of roach, Rutilus rutilus, in a riparian ecosystem"
6824,Redefining the Cerrado-Amazonia transition: implications for conservation
6825,How much potential biodiversity and conservation value can a regenerating rainforest provide? A &apos;best-case scenario&apos; approach from the Peruvian Amazon
6826,"Avoiding impacts on biodiversity through strengthening the first stage of the mitigation hierarchy B E N P H A L A N , G E N E V I E V E H A Y"
6827,Soil warming increases plant species richness but decreases germination from the alpine soil seed bank
6828,"Dung beetle and terrestrial mammal diversity in forests, indigenous agroforestry systems and plantain monocultures in Talamanca, Costa Rica"
6829,The phylogenetic and functional diversity of regional breeding bird assemblages is reduced and constricted through urbanization
6830,Recent and future threats to the Endangered Cuban toad Peltophryne longinasus: potential additive impacts of climate change and habitat loss
6831,Effects of increased flooding on riparian vegetation: Field experiments simulating climate change along five European lowland streams
6832,Scale dependency of conservation outcomes in a forest-offsetting scheme
6833,10 000 years of Quaternary beetle diversity change
6834,Tree diversity change in remaining primary mixed- broadleaved Korean pine forest under climate change and human activities
6835,Community attitudes toward three protected areas in Upper Myanmar (Burma)
6836,Is interest toward the environment really declining? The complexity of analysing trends using internet search data
6837,An evaluation of the gradsect biological survey method
6838,Ant Assemblages of New York State Inland Pine Barrens
6839,Hybrid ecosystems can contribute to local biodiversity conservation
6840,Using environmental and geographic data to optimize ex situ collections and preserve evolutionary potential
6841,"Assembly history alters alpha and beta diversity, exotic-native proportions and functioning of restored prairie plant communities"
6842,Stability of butter¯y assemblages in relation to the level of numerical resolution and altitude
6843,The responses of grassland plants to experimentally simulated climate change depend on land use and region
6844,How Corridors Reduce Indigo Bunting Nest Success
6845,"Importance of local knowledge in plant resources management and conservation in two protected areas from Trás-os-Montes, Portugal Importance of local knowledge in plant resources management and conservation in two protected areas from Trás-os-Montes, Portugal"
6846,The strong influence of collection bias on biodiversity knowledge shortfalls of Brazilian terrestrial biodiversity A Journal of Conservation Biogeography Diversity and Distributions
6847,On the distribution of Physalia physalis (Hydrozoa: Physaliidae) in Chile
6848,Deep-sea meiofauna and macrofauna diversity and functional diversity: are they related?
6849,Erosion of phylogenetic diversity in Neotropical bat assemblages: findings from a whole-ecosystem fragmentation experiment
6850,The use of sentinel logs to assess host shifts in early beetle colonisers of deadwood under climate-and forestry-induced tree species substitutions
6851,Predation of larval Lepidoptera in habitat fragments varies spatially and temporally but is not affected by light pollution
6852,"Biodiversity of Larval Damselflies and Dragonflies (Insecta: Odonata) in the Lower Mobile/Tensaw Delta, Alabama"
